Chn,Identifier Flg,DLC,D0,...1,...2,...3,...4,...5,...6,..D7,Time,Dir
0,00000191,8,0,0,0,0,0,0,0,0,0,R
0,000000C1,8,1,0,0,0,0,0,0,0,0.00119,R
0,000000C5,8,2,0,0,0,0,0,0,0,0.00145,R
0,000001E5,8,3,0,0,0,0,0,0,0,0.00171,R
0,000001A1,8,40,B5,0,0,0,0,0,0,0.00205,R
0,000001C3,8,72,AE,D4,9,0,0,0,0,0.0023,R
0,000000F1,8,0,0,0,0,0,0,0,0,0.00341,R
0,00000199,8,0,0,0,0,0,0,0,FF,0.00435,R
0,000000F9,8,0,0,0,0,0,0,FF,0,0.00461,R
0,000000C9,8,80,AE,D4,9,0,0,0,0,0.00973,R
0,00000191,8,0,0,0,0,0,0,0,0,0.00998,R
0,000002C3,8,B2,AE,D4,9,0,0,0,0,0.01024,R
0,000000C1,8,1,0,0,0,0,0,0,0,0.01118,R
0,000000C5,8,2,0,0,0,0,0,0,0,0.01143,R
0,000001CD,8,8,0,0,0,0,0,0,0,0.01169,R
0,000001E5,8,3,0,0,0,0,0,0,0,0.01195,R
0,00000184,8,4,0,0,0,0,0,0,0,0.0122,R
0,000001E9,8,5,0,0,0,0,0,0,0,0.01246,R
0,00000334,8,6,0,0,0,0,0,0,0,0.01271,R
0,000001C7,8,7,0,0,0,0,0,0,0,0.01297,R
0,000000F1,8,0,0,0,0,0,0,0,0,0.0134,R
0,00000121,4,2,0,0,0,,,,,0.01357,R
0,0000012A,8,0,0,0,0,0,0,0,0,0.01382,R
0,00000130,4,10,27,0,0,,,,,0.01399,R
0,00000134,8,0,0,0,0,0,0,0,0,0.01425,R
0,000001E1,8,0,0,0,0,0,0,0,0,0.01451,R
0,000001F1,8,0,0,0,0,0,0,0,0,0.01476,R
0,000003C9,8,0,0,0,0,0,0,0,0,0.01502,R
0,000001F3,8,0,0,0,0,0,0,0,0,0.01647,R
0,00000199,8,0,0,0,0,0,0,0,FF,0.0169,R
0,000000F9,8,0,0,0,0,0,0,FF,0,0.01715,R
0,0000019D,8,0,0,0,0,0,FF,FF,0,0.01741,R
0,000001F5,8,0,0,0,0,0,FF,0,0,0.01766,R
0,000000C9,8,C1,AE,D4,9,0,0,0,0,0.01971,R
0,00000191,8,0,0,0,0,0,0,0,0,0.01997,R
0,000000C1,8,1,0,0,0,0,0,0,0,0.02116,R
0,000000C5,8,2,0,0,0,0,0,0,0,0.02142,R
0,000001E5,8,3,0,0,0,0,0,0,0,0.02167,R
0,000000F1,8,0,0,0,0,0,0,0,0,0.02347,R
0,000001A1,8,40,B5,0,0,0,0,0,0,0.02543,R
0,000001C3,8,C8,AE,D4,9,0,0,0,0,0.02569,R
0,000000C9,8,D5,AE,D4,9,0,0,0,0,0.02978,R
0,00000191,8,0,0,0,0,0,0,0,0,0.02995,R
0,000000F9,8,0,0,0,0,0,0,FF,0,0.03029,R
0,00000199,8,0,0,0,0,0,0,0,FF,0.03046,R
0,000000C1,8,1,0,0,0,0,0,0,0,0.03123,R
0,000000C5,8,2,0,0,0,0,0,0,0,0.03149,R
0,000001CD,8,8,0,0,0,0,0,0,0,0.03174,R
0,000001E5,8,3,0,0,0,0,0,0,0,0.032,R
0,00000184,8,4,0,0,0,0,0,0,0,0.03217,R
0,000001E9,8,5,0,0,0,0,0,0,0,0.03243,R
0,00000334,8,6,0,0,0,0,0,0,0,0.03268,R
0,000001C7,8,7,0,0,0,0,0,0,0,0.03294,R
0,000000F1,8,0,0,0,0,0,0,0,0,0.03345,R
0,00000121,4,2,0,0,0,,,,,0.03831,R
0,000000C9,8,E4,AE,D4,9,0,0,0,0,0.03977,R
0,00000191,8,0,0,0,0,0,0,0,0,0.04002,R
0,000000C1,8,1,0,0,0,0,0,0,0,0.04122,R
0,000000C5,8,2,0,0,0,0,0,0,0,0.04147,R
0,000001E5,8,3,0,0,0,0,0,0,0,0.04173,R
0,00000348,8,0A,0,0,0,0,0,0,0,0.04198,R
0,000002F9,8,9,0,0,0,0,0,0,0,0.04224,R
0,0000034A,8,0B,0,0,0,0,0,0,0,0.0425,R
0,00000199,8,0,0,0,0,0,0,0,FF,0.04275,R
0,0000019D,8,0,0,0,0,0,FF,FF,0,0.04292,R
0,000000F9,8,0,0,0,0,0,0,FF,0,0.04318,R
0,000000F1,8,0,0,0,0,0,0,0,0,0.04343,R
0,000001E1,8,0,0,0,0,0,0,0,0,0.04369,R
0,000001F3,8,0,0,0,0,0,0,0,0,0.04941,R
